month,numerator_items,denominator_items,pct_watch_reserve_of_aware
2010-08-01,659551,2462205,26.787005956043465
2010-09-01,743706,2829962,26.27971683011998
2010-10-01,771089,3000002,25.702949531366983
2010-11-01,796602,3147402,25.309826962046795
2010-12-01,973484,4028562,24.164553009237537
2011-01-01,877712,3408796,25.7484460789088
2011-02-01,763939,2982158,25.61698608859759
2011-03-01,882610,3416560,25.83329430772473
2011-04-01,734597,2761705,26.59940145670881
2011-05-01,722109,2686977,26.874401976645128
2011-06-01,737030,2767247,26.634051821178232
2011-07-01,705350,2658926,26.52762807238712
2011-08-01,707301,2647303,26.717795431803616
2011-09-01,744440,2809063,26.5013636219622
2011-10-01,766026,2965635,25.830083607726507
2011-11-01,816666,3206581,25.468435071498273
2011-12-01,883933,3500358,25.25264558653715
2012-01-01,872244,3390966,25.72258170680567
2012-02-01,855018,3362131,25.43083538386815
2012-03-01,893193,3451290,25.879975313578402
2012-04-01,773061,2919454,26.479643111348906
2012-05-01,862024,3286891,26.226120671479524
2012-06-01,755348,2847126,26.530192200836915
2012-07-01,815599,3134403,26.02087223627593
2012-08-01,771273,2884005,26.74312284479396
2012-09-01,722577,2728468,26.48288343495324
2012-10-01,862573,3359171,25.678150948552485
2012-11-01,852100,3339029,25.519395009746848
2012-12-01,914164,3681357,24.83225614902331
2013-01-01,940740,3684045,25.535518702947442
2013-02-01,822997,3234824,25.441786013705848
2013-03-01,836361,3245521,25.76969922548645
2013-04-01,819073,3114309,26.300312525186165
2013-05-01,776087,2939391,26.402986196800633
2013-06-01,706755,2665009,26.519797869350537
2013-07-01,752833,2856029,26.35943122426278
2013-08-01,684015,2568055,26.635527665879433
2013-09-01,712357,2747873,25.923941899789398
2013-10-01,806456,3161141,25.51154788729766
2013-11-01,776616,3069848,25.298190659602692
2013-12-01,864229,3495562,24.72360667612247
2014-01-01,876687,3455296,25.372269119635483
2014-02-01,788513,3112923,25.330308523532384
2014-03-01,844511,3299900,25.592017939937573
2014-04-01,795858,3076104,25.872272198859335
2014-05-01,778198,2976577,26.14405741897488
2014-06-01,739544,2828838,26.14303116686074
2014-07-01,749860,2871270,26.1159695883703
2014-08-01,653492,2474704,26.406875327311873
2014-09-01,722503,2824014,25.584257018555856
2014-10-01,788013,3116332,25.286554834337295
2014-11-01,736552,2980001,24.716501772985982
2014-12-01,940610,3946661,23.83305786841079
2015-01-01,887494,3580681,24.785620388970703
2015-02-01,768160,3094503,24.823372283045128
2015-03-01,835302,3359610,24.86306446283944
2015-04-01,741718,2894746,25.622904392993373
2015-05-01,684128,2675235,25.5726319370074
2015-06-01,693258,2703571,25.642307895742334
2015-07-01,690346,2707769,25.49501083733509
2015-08-01,598961,2350569,25.481532343870782
2015-09-01,650380,2627360,24.754125814505816
2015-10-01,698281,2899083,24.08627141754824
2015-11-01,676817,2858961,23.673530348962437
2015-12-01,758293,3233637,23.45015844388223
2016-01-01,723718,3083556,23.470240203193978
2016-02-01,730456,3119578,23.415218340429377
2016-03-01,767567,3296571,23.283800045562494
2016-04-01,710337,2911798,24.395133178881228
2016-05-01,650586,2674281,24.32751083375307
2016-06-01,648290,2654277,24.424353599869193
2016-07-01,639544,2647616,24.155466653774564
2016-08-01,610580,2497912,24.443615307504828
2016-09-01,626594,2598277,24.11575055315503
2016-10-01,650398,2804166,23.193990655332104
2016-11-01,692170,3035936,22.799228969253633
2016-12-01,752795,3356738,22.426385377708954
2017-01-01,749675,3309179,22.65441065593611
2017-02-01,659653,2856591,23.092315280696464
2017-03-01,720542,3050791,23.618202623516325
2017-04-01,604908,2520758,23.99706754872939
2017-05-01,649642,2709907,23.972852204891165
2017-06-01,627046,2586264,24.245243331693903
2017-07-01,609571,2558095,23.829099388412082
2017-08-01,601820,2519320,23.88819205182351
2017-09-01,609887,2575635,23.67909272858926
2017-10-01,644908,2805948,22.9836048280296
2017-11-01,641958,2837763,22.621973716621156
2017-12-01,682253,3101858,21.994978493535164
2018-01-01,752376,3431058,21.92839643048879
2018-02-01,628201,2805584,22.39109575760341
2018-03-01,665266,2913950,22.830384872767205
2018-04-01,606729,2590377,23.422420751882832
2018-05-01,604969,2582229,23.42817000351247
2018-06-01,570142,2417130,23.587560453926766
2018-07-01,563992,2413455,23.36865613819193
2018-08-01,556255,2356401,23.606126461497855
2018-09-01,545032,2352839,23.164865934303197
2018-10-01,617728,2743931,22.512519447464243
2018-11-01,598270,2699845,22.159420263015097
2018-12-01,612083,2818516,21.716499037081928
2019-01-01,673140,3124034,21.547140652118383
2019-02-01,585929,2668972,21.953358821298988
2019-03-01,598259,2660770,22.484431198487655
2019-04-01,564406,2515125,22.44047512549078
2019-05-01,568220,2471592,22.990040427384457
2019-06-01,525744,2296507,22.893202589846233
2019-07-01,552753,2457740,22.49029596295784
2019-08-01,539987,2364890,22.83349331258536
2019-09-01,528610,2369569,22.308276315228635
2019-10-01,589140,2738940,21.509781156213716
2019-11-01,580516,2740402,21.183607368553954
2019-12-01,627312,3063003,20.480293359164193
2020-01-01,644642,3048112,21.148894791267512
2020-02-01,560403,2594949,21.595915757881947
2020-03-01,611612,2763581,22.13114071923349
2020-04-01,553125,2354226,23.49498306449763
2020-05-01,469554,1956802,23.99598937449982
2020-06-01,469152,1974025,23.766264358354125
2020-07-01,479503,2028631,23.636777708710948
2020-08-01,439418,1886211,23.2963332310118
2020-09-01,496480,2214544,22.41906234421172
2020-10-01,500870,2207504,22.68942661032551
2020-11-01,482613,2104289,22.934729972926725
2020-12-01,505609,2210621,22.87180841944413
2021-01-01,485330,2109675,23.004965219761335
2021-02-01,442655,1880099,23.544238893802934
2021-03-01,495125,2119285,23.36283227597987
2021-04-01,460789,1977994,23.29577339466146
2021-05-01,453780,2018660,22.479268425589254
2021-06-01,490496,2247576,21.82333322655163
2021-07-01,501389,2334769,21.474886808930563
2021-08-01,469675,2180579,21.539004090198063
2021-09-01,515402,2496293,20.64669491922623
2021-10-01,535593,2726094,19.646901390781096
2021-11-01,554559,2811751,19.722905762281226
2021-12-01,565996,2871655,19.709749256091
2022-01-01,505921,2477138,20.423609827147295
2022-02-01,468294,2269884,20.630745888336143
2022-03-01,543936,2691022,20.212989711715473
2022-04-01,492932,2424821,20.32859332709507
2022-05-01,505960,2487138,20.343060980130577
2022-06-01,493650,2439525,20.23549666430965
2022-07-01,497384,2492279,19.956995183926036
2022-08-01,479328,2337639,20.50479137283387
2022-09-01,478176,2397750,19.9426962777604
2022-10-01,523112,2773200,18.863118419154766
2022-11-01,558527,3036667,18.392764172034667
2022-12-01,749390,4281829,17.501633063814552
2023-01-01,613631,3408477,18.003084662152627
2023-02-01,534233,2898569,18.430922293034943
2023-03-01,586322,3128602,18.740702716420945
2023-04-01,480040,2479579,19.35973808457
2023-05-01,502344,2589384,19.400135321759922
2023-06-01,492283,2506203,19.642582823498337
2023-07-01,474461,2444264,19.411201081388917
2023-08-01,477852,2446760,19.52999068155438
2023-09-01,466706,2410187,19.36389168143385
2023-10-01,502261,2765829,18.159510222793962
2023-11-01,525038,2969006,17.683965610039184
2023-12-01,548788,3157311,17.381499636874544
2024-01-01,578412,3284945,17.60796603900522
2024-02-01,535344,2933786,18.2475477079787
2024-03-01,544099,2911344,18.68892854983815
2024-04-01,541268,2800190,19.329688342576752
2024-05-01,532414,2701108,19.710948247904195
2024-06-01,479808,2403996,19.958768650197424
2024-07-01,502597,2536638,19.813509061994655
2024-08-01,448218,2188372,20.481801083179644
2024-09-01,450601,2282973,19.737465138659108
2024-10-01,505544,2718700,18.595063817265604
2024-11-01,497647,2738726,18.170748004729205
2024-12-01,538660,3077655,17.502286643564663
2025-01-01,536291,2975443,18.023904339622703
2025-02-01,465652,2522286,18.461506744278804
2025-03-01,483884,2538458,19.062123541141908
2025-04-01,452790,2345942,19.300988685994795
2025-05-01,447583,2256875,19.831980060924952
2025-06-01,432624,2178217,19.861382038612316
2025-07-01,446962,2243402,19.923402047426187
